Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add to cart success,Firefox 118.0,,,2023-10-22 19:48:25,2023-10-22 19:48:43,18.268s,PASSED
,,,,,,,
Test Cases/Common/Open Browser,Firefox 118.0,,,2023-10-22 19:48:25,2023-10-22 19:48:34,8.701s,PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-22 19:48:25,2023-10-22 19:48:34,8.433s,PASSED
maximizeWindow(),Firefox 118.0,,,2023-10-22 19:48:34,2023-10-22 19:48:34,0.028s,PASSED
,,,,,,,
Test Cases/Common/Navigate to url,Firefox 118.0,,,2023-10-22 19:48:34,2023-10-22 19:48:38,4.603s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 118.0,,,2023-10-22 19:48:34,2023-10-22 19:48:36,2.503s,PASSED
delay(1),Firefox 118.0,,,2023-10-22 19:48:36,2023-10-22 19:48:38,1.029s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:48:38,2023-10-22 19:48:38,0.833s,PASSED
,,,,,,,
Test Cases/Page_Login/Login with valid credentials,Firefox 118.0,,,2023-10-22 19:48:38,2023-10-22 19:48:41,2.965s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:48:39,2023-10-22 19:48:39,0.325s,PASSED
"setText(findTestObject(""Page_Login/input_Swag Labs_user-name""), ValidUsername)",Firefox 118.0,,,2023-10-22 19:48:39,2023-10-22 19:48:40,0.862s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Swag Labs_password""), ValidPassword)",Firefox 118.0,,,2023-10-22 19:48:40,2023-10-22 19:48:41,0.760s,PASSED
"click(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:48:41,2023-10-22 19:48:41,0.802s,PASSED
,,,,,,,
Test Cases/Page_Inventory/Add to cart,Firefox 118.0,,,2023-10-22 19:48:41,2023-10-22 19:48:43,1.792s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Inventory/button_Add to cart""))",Firefox 118.0,,,2023-10-22 19:48:42,2023-10-22 19:48:42,0.633s,PASSED
"click(findTestObject(""Object Repository/Page_Inventory/button_Add to cart""))",Firefox 118.0,,,2023-10-22 19:48:42,2023-10-22 19:48:43,0.598s,PASSED
"cart = getText(findTestObject(""Object Repository/Page_Inventory/total_cart""))",Firefox 118.0,,,2023-10-22 19:48:43,2023-10-22 19:48:43,0.319s,PASSED
"Assert.assertEquals(""1"", cart)",Firefox 118.0,,,2023-10-22 19:48:43,2023-10-22 19:48:43,0.006s,PASSED
